round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
6,57,2,Bhayshul Tuten,RB,23,JAX,7,58.9,57.1,0.51,181,-3,86,67,59,86,4,-3.944
6,57,3,Jaylen Warren,RB,26,PIT,9,71.7,70.8,0.91,183,-1,2,16,35,38,1,-4.02
6,57,4,Justin Herbert,QB,9,LAC,7,79.4,91.8,0.99,281,-2,78,8,8,85,17,-4.056
7,64,1,Justin Herbert,QB,9,LAC,7,79.4,91.8,0.98,281,-2,78,8,8,85,17,-4.063
7,64,2,Parker Washington,WR,30,JAX,7,67.2,71.7,0.79,189,-2,83,52,75,54,7,-4.214
7,64,3,Jalen Hurts,QB,6,PHI,10,61.8,67.9,0.65,298,15,92,42,85,88,30,-4.217
7,64,4,Carnell Tate,WR,32,TEN,9,71.3,78.6,0.9,170,-21,98,83,90,97,3,-4.238
8,77,1,RJ Harvey,RB,34,DEN,10,95.6,102.5,0.95,155,-29,90,55,68,88,7,-4.329
8,77,2,Blake Corum,RB,35,LAR,11,102.7,115.2,0.98,128,-56,92,38,54,95,22,-4.346
8,77,3,Kyle Monangai,RB,38,CHI,10,110.3,111.2,0.98,148,-36,70,10,27,72,16,-4.359
8,77,4,Carnell Tate,WR,32,TEN,9,71.3,78.6,0.56,170,-21,98,83,90,97,3,-4.41
9,84,1,Blake Corum,RB,35,LAR,11,102.7,115.2,0.96,128,-56,92,38,54,95,22,-4.456
9,84,2,Jordan Addison,WR,43,MIN,6,98.7,105.9,0.92,165,-26,63,15,68,37,4,-4.464
9,84,3,Kyle Monangai,RB,38,CHI,10,110.3,111.2,0.95,148,-36,70,10,27,72,16,-4.472
9,84,4,Quentin Johnston,WR,42,LAC,7,98.4,105.0,0.92,166,-25,82,32,51,73,25,-4.479
10,97,1,Kyle Monangai,RB,38,CHI,10,110.3,111.2,0.82,148,-36,70,10,27,72,16,-4.535
10,97,2,KC Concepcion,WR,49,CLE,11,113.5,125.1,0.94,138,-53,99,45,82,85,2,-4.536
10,97,3,Jordan Addison,WR,43,MIN,6,98.7,105.9,0.73,165,-26,63,15,68,37,4,-4.559
10,97,4,Quentin Johnston,WR,42,LAC,7,98.4,105.0,0.72,166,-25,82,32,51,73,25,-4.58
11,104,1,KC Concepcion,WR,49,CLE,11,113.5,125.1,0.89,138,-53,99,45,82,85,2,-4.563
11,104,2,Jordan Addison,WR,43,MIN,6,98.7,105.9,0.55,165,-26,63,15,68,37,4,-4.65
11,104,3,Jordan Mason,RB,40,MIN,6,111.8,116.6,0.79,141,-43,72,40,66,80,2,-4.657
11,104,4,Makai Lemon,WR,46,PHI,10,106.3,125.4,0.89,145,-46,97,61,74,97,30,-4.672
12,117,1,Jordan Mason,RB,40,MIN,6,111.8,116.6,0.49,141,-43,72,40,66,80,2,-4.806
12,117,2,Jacory Croskey-Merritt,RB,37,WAS,7,110.2,115.7,0.47,138,-46,82,18,39,12,31,-4.852
12,117,3,Tyler Allgeier,RB,46,ARI,14,148.3,148.8,0.93,87,-97,60,29,65,65,5,-4.883
12,117,4,Dylan Sampson,RB,50,CLE,11,161.5,163.1,0.97,96,-88,39,5,10,23,3,-4.884
13,124,1,Kyler Murray,QB,17,MIN,6,119.2,129.7,0.63,257,-26,98,68,98,98,2,-5.04
13,124,2,Tyler Shough,QB,20,NO,8,135.0,140.7,0.81,255,-28,15,15,5,75,5,-5.041
13,124,3,Dalton Kincaid,TE,11,BUF,7,112.8,129.7,0.63,154,-17,84,64,84,70,7,-5.059
13,124,4,Brenton Strange,TE,18,JAX,7,151.7,156.2,0.92,144,-27,59,16,13,10,16,-5.1
14,137,1,Brenton Strange,TE,18,JAX,7,151.7,156.2,0.82,144,-27,59,16,13,10,16,-5.154
14,137,2,Dalton Kincaid,TE,11,BUF,7,112.8,129.7,0.34,154,-17,84,64,84,70,7,-5.204
14,137,3,Dylan Sampson,RB,50,CLE,11,161.5,163.1,0.87,96,-88,39,5,10,23,3,-5.231
14,137,4,Juwan Johnson,TE,16,NO,8,140.1,148.4,0.72,146,-25,7,13,4,7,8,-5.232
