Position Bucket,Display Rank,Player,Team,Bye Week,Floor,Points,Ceiling,SD,Uncertainty,VOR,Drop Off,Tier,Age,ADP,AAV,Rank - Overall,Rank - Position,ECR,Injury Status,Points Spread,Experience
DL,32,Trey Hendrickson,BAL,13,48.9,57.8,68.2,10.2,3,-8.61,0.0124,2,31,,9.5,194,22,21,,19.3,9
DL,33,Trey Hendrickson,BAL,13,48.9,57.8,68.2,10.2,26,-8.61,0.0124,2,31,,9.5,194,22,67.6,,19.3,9
DL,34,Laiatu Latu,IND,13,46.4,57.7,66.8,10.8,7,-8.62,0.477,2,25,,7.37,195,23,15,,20.4,2
DL,35,Nik Bonitto,DEN,10,50.8,57.3,66,8.31,1,-9.1,0.514,2,26,,8.18,201,24,12.5,,15.2,4
DL,36,Nik Bonitto,DEN,10,50.8,57.3,66,8.31,16,-9.1,0.514,2,26,,8.18,201,24,57.3,,15.2,4
DL,37,Carl Granderson,NO,8,47.1,56.8,70.7,13.1,25,-9.61,0.373,2,29,,1.3,204,25,51.8,,23.6,7
DL,38,Carl Granderson,NO,8,47.1,56.8,70.7,13.1,68,-9.61,0.373,2,29,,1.3,204,25,103,,23.6,7
DL,39,Demarcus Lawrence,SEA,11,45.7,56.4,73.9,16.4,49,-9.99,0.868,2,34,,1.82,206,26,45.6,,28.2,12
DL,40,Demarcus Lawrence,SEA,11,45.7,56.4,73.9,16.4,94,-9.99,0.868,2,34,,1.82,206,26,105,,28.2,12
DL,41,Travon Walker,JAC,7,43.7,55.5,74.3,17.6,54,-10.9,0.075,2,25,,4.49,215,27,34.8,,30.6,4
DL,42,Travon Walker,JAC,7,43.7,55.5,74.3,17.6,78,-10.9,0.075,2,25,,4.49,215,27,108,,30.6,4
DL,43,Dallas Turner,MIN,6,41.1,55.4,79.3,22.3,75,-10.9,0.138,2,23,,10.5,218,28,22.9,,38.2,2
DL,44,Dallas Turner,MIN,6,41.1,55.4,79.3,22.3,89,-10.9,0.138,2,23,,10.5,218,28,66.6,,38.2,2
DL,45,Montez Sweat,CHI,10,41.7,55.3,68.9,14.1,23,-11.1,0.00389,2,29,,5.62,221,29,22.3,,27.2,7
DL,46,Cameron Heyward,PIT,9,41.7,55.3,75,18.5,61,-11.1,1.61,2,37,,3.22,222,30,35.7,,33.3,15
DL,47,Gregory Rousseau,BUF,7,41.1,53.7,71.9,17.2,44,-12.7,0.0991,2,26,,4.27,240,31,27.4,,30.8,5
DL,48,Gregory Rousseau,BUF,7,41.1,53.7,71.9,17.2,83,-12.7,0.0991,2,26,,4.27,240,31,92.7,,30.8,5
DL,49,Myles Murphy,CIN,6,44.3,53.6,63.9,10.3,13,-12.8,0.00778,2,24,,7.27,242,32,56.1,Q,19.6,3
DL,50,YaYa Diaby,TB,10,45.9,53.6,66.4,12,33,-12.8,1.31,2,27,,3,243,33,50.2,,20.5,3
DL,51,YaYa Diaby,TB,10,45.9,53.6,66.4,12,64,-12.8,1.31,2,27,,3,243,33,109,,20.5,3
DL,52,Jordan Davis,PHI,10,37.4,52.3,75.6,21.9,92,-14.1,0.651,2,26,,5.45,260,34,71.6,,38.2,4
DL,53,George Karlaftis,KC,5,40.8,51.6,70,17.2,45,-14.7,0.0337,2,25,,2.86,266,35,26.7,,29.2,4
DL,54,Harold Landry,NE,11,33.7,51.6,67.6,17.5,82,-14.8,0.323,2,30,,,267,36,43.7,O,33.9,8
DL,55,Harold Landry,NE,11,33.7,51.6,67.6,17.5,86,-14.8,0.323,2,30,,,267,36,101,O,33.9,8
DL,56,Jalen Redmond,MIN,6,36.2,51.3,75,22.2,72,-15.1,0.256,2,27,,3.53,272,37,53.9,,38.8,4
DL,57,David Bailey,NYJ,13,43.1,51,64.9,13,74,-15.4,0.262,2,22,,8.11,274,38,63.3,,21.8,0
DL,58,David Bailey,NYJ,13,43.1,51,64.9,13,85,-15.4,0.262,2,22,,8.11,274,38,119,,21.8,0
DL,59,Leonard Williams,SEA,11,33.5,50.7,68.4,18.1,52,-15.6,0.584,2,32,,2.16,275,39,28.8,,34.9,11
DL,60,Teair Tart,LAC,7,40.8,50.2,58.7,13,28,-16.2,0.115,2,29,,,279,40,,,17.9,6
DL,61,Boye Mafe,CIN,6,41.8,50,62,11.2,38,-16.3,0.0682,2,27,,1.8,280,41,77.7,,20.2,4
DL,62,Boye Mafe,CIN,6,41.8,50,62,11.2,67,-16.3,0.0682,2,27,,1.8,280,41,121,,20.2,4
DL,63,Jaelan Phillips,CAR,5,43,50,62,11.3,9,-16.4,1.25,3,27,,5.18,281,42,22.7,,19,5
DL,64,Jaelan Phillips,CAR,5,43,50,62,11.3,51,-16.4,1.25,3,27,,5.18,281,42,80,,19,5
DL,65,Jalen Carter,PHI,10,38.1,48.7,67.2,17.2,53,-17.6,0.0741,3,25,,7.92,291,43,46.8,,29.1,3
DL,66,Chop Robinson,MIA,6,38.4,48.7,62.1,12.8,40,-17.7,0.0778,3,23,,3.24,292,44,53.1,,23.7,2
